zod_id;zod_name;zod_address;number_spaces;zod_x;zod_y;HB_x;HB_y;distance_to_HB;cost_1h;cost_2h;cost_3h;cost_4h;cost_5h;cost_6h;cost_7h;cost_8h;cost_9h;cost_10h;cost_11h;cost_12h;cost_13h;cost_14h;cost_15h;cost_16h;cost_17h;cost_18h;cost_19h;cost_20h;cost_21h;cost_22h;cost_23h;cost_24h
10000495;A-Park;Albisriederstrasse 348;74;2679133.62034694;1247727.9833673;2683265.9868223905;1247929.869313064;4137.295085260774;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;46.0
60;Accu;Fritz-Heeb-Weg 5;213;2683160.882;1252143.748;2683265.9868223905;1247929.869313064;4215.189273556063;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
10000450;Airgate;Leutschenbachstrasse 37;163;2684095.38394877;1252177.22569686;2683265.9868223905;1247929.869313064;4327.578519705885;2.0;4.0;6.0;9.0;;;;;;;;;;;;;;;;;;;;
10000394;Albisriederdörfli;Bachwiesenstrasse 141;26;2679026.7204;1247771.0056;2683265.9868223905;1247929.869313064;4242.242034506729;0.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;;
1411;Albisriederplatz;Badenerstrasse 380c;65;2680764.326;1248167.63;2683265.9868223905;1247929.869313064;2512.9339455178915;1.0;;;;;;;;;;;;;;;;;;;;;;;
10000488;Aldi Seebach;Schärenmoosstrasse 77a;70;2684356.31760541;1252704.91052584;2683265.9868223905;1247929.869313064;4897.942404735745;1.0;5.0;15.0;;;;;;;;;;;;;;;;;;;;;
10000496;Altstetten-Luggweg;Luggwegstrasse 107a;44;2679439.629;1248779.1539;2683265.9868223905;1247929.869313064;3919.4768138840022;3.0;4.0;6.0;7.0;9.0;11.0;14.0;;;;;;;;;;;;;;;;;20.0
10000502;Bellevue-Garage;Stadelhoferstrasse 42;20;2683678.206;1246912.591;2683265.9868223905;1247929.869313064;1097.624624641442;12.0;18.0;24.0;29.0;;;;;;;;;;;;;;;;;;;;65.0
10000521;Bethanien;Toblerstrasse 55;79;2684498.88210768;1248324.6876143;2683265.9868223905;1247929.869313064;1294.5703053448105;3.0;;;;;;;;;;;;;;;;;;;;;;;30.0
49;Bleicherweg;Beethovenstrasse 35;258;2682865.342;1246860.067;2683265.9868223905;1247929.869313064;1142.3630170594681;4.0;9.0;13.0;17.0;21.0;25.0;29.0;32.0;35.0;38.0;;;;;;;;;;;;;;
10000407;Brunaupark;Wannerstrasse 6;269;2681633.631;1245795.021;2683265.9868223905;1247929.869313064;2687.40820321075;1.0;2.5;5.0;8.0;11.0;14.0;17.0;20.0;25.0;30.0;35.0;;;;;;;;;;;;;
19;Center Eleven;Sophie-Taeuber-Strasse 4;377;2683140.2320995;1251918.10977518;2683265.9868223905;1247929.869313064;3990.222579504585;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
10000503;Centrum Garage;Löwenstrasse 19;21;2682816.825;1247594.445;2683265.9868223905;1247929.869313064;560.5852410538367;8.0;16.0;24.0;31.0;38.0;45.0;;;;;;;;;;;;;;;;;;50.0
58;City Parking;Gessnerallee 14;607;2682837.31573226;1247784.54319146;2683265.9868223905;1247929.869313064;452.63515675908195;4.0;8.0;12.0;16.0;;;;;;;;;;;;;;;;;;;;
10000519;City West;Pfingstweidstrasse 51;65;2681251.76891438;1249198.33272101;2683265.9868223905;1247929.869313064;2380.3514862825855;1.5;4.0;7.0;9.0;;;;;;;;;;;;;;;;;;;;30.0
20;Cityport;Affolternstrasse 56;131;2683190.01597419;1251701.88005295;2683265.9868223905;1247929.869313064;3772.775714456318;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
10000424;Coop Goldbrunnenplatz;Kalkbreitestrasse 117;88;2681336.0;1247270.745;2683265.9868223905;1247929.869313064;2039.4347242980887;0.0;1.5;3.5;;;;;;;;;;;;;;;;;;;;;
61;Crowne Plaza;Bienenstrasse 9;310;2680667.02154838;1248362.04969589;2683265.9868223905;1247929.869313064;2634.6537493209757;3.0;7.0;10.0;;;;;;;;;;;;;;;;;;;;;
10000497;Dolder Grand Hotel;Kurhausstrasse 69;237;2685770.60128649;1247481.15686089;2683265.9868223905;1247929.869313064;2544.4913987892483;4.0;8.0;12.0;16.0;;;;;;;;;;;;;;;;;;;;40.0
43;Dorflinde;Schwamendingenstrasse 31;48;2683788.08964449;1251345.55744549;2683265.9868223905;1247929.869313064;3455.3605853571835;1.5;3.5;5.5;8.0;12.0;16.0;20.0;24.0;28.0;;;;;;;;;;;;;;;
10;Feldegg;Riesbachstrasse 6;147;2684223.074;1246102.026;2683265.9868223905;1247929.869313064;2063.2564170885953;2.5;4.5;7.0;11.0;15.0;19.0;23.0;31.0;40.0;;;;;;;;;;;;;;;
10000448;Flora;Schwamendingenstrasse 14;29;2683698.88798025;1251350.32272639;2683265.9868223905;1247929.869313064;3447.739109214933;2.0;4.0;7.0;10.0;13.0;17.0;21.0;25.0;;;;;;;;;;;;;;;;
25;Globus;Löwenstrasse 50a;139;2683004.47033357;1247827.46248381;2683265.9868223905;1247929.869313064;280.8523323790711;3.5;7.0;11.0;19.0;27.0;;;;;;;;;;;;;;;;;;;
5;Hardau II;Norastrasse 38;111;2680859.16872976;1248422.99709756;2683265.9868223905;1247929.869313064;2456.816709250848;1.5;3.5;5.5;8.0;12.0;16.0;20.0;24.0;28.0;;;;;;;;;;;;;;;
10000444;Hardturm;Hardturmstrasse 417;365;2680377.1841;1249699.3007;2683265.9868223905;1247929.869313064;3387.634661819909;1.5;3.5;5.5;8.0;;;;;;;;;;;;;;;;;;;;28.0
10000524;Hardturmpark;Pfingstweidstrasse 104;145;2680815.08857576;1249460.5811195;2683265.9868223905;1247929.869313064;2889.633341740701;0.5;;;;;;;;;;;;;;;;;;;;;;;25.0
6;Hauptbahnhof;Sihlquai 41;176;2682986.904;1248439.698;2683265.9868223905;1247929.869313064;581.2164070088867;4.0;9.0;14.0;19.0;24.0;29.0;34.0;39.0;44.0;;;;;;;;;;;;;;;
529;Helvetiaplatz;Molkenstrasse 9;66;2682192.19593875;1247855.62375564;2683265.9868223905;1247929.869313064;1076.354618416358;4.0;;;;;;;;;;;;;;;;;;;;;;;
22;Hohe Promenade;Rämistrasse 22a;480;2683793.24506323;1247020.78209849;2683265.9868223905;1247929.869313064;1050.9237918303188;4.0;9.0;14.0;19.0;24.0;29.0;34.0;39.0;44.0;;;;;;;;;;;;;;;
10000478;Hürlimann;Brandschenkestrasse 132;60;2682137.08934425;1246523.29022616;2683265.9868223905;1247929.869313064;1803.5726333772523;3.0;;;;;;;;;;;;;;;;;;;;;;;
10000425;Im Brühl;Regensdorferstrasse 16a;63;2679963.60631693;1250851.23744665;2683265.9868223905;1247929.869313064;4409.093872302504;0.5;1.5;4.0;7.0;;;;;;;;;;;;;;;;;;;;
23;Jelmoli;Steinmühleplatz 5;227;2682916.01375452;1247580.05810288;2683265.9868223905;1247929.869313064;494.8222216160834;3.0;7.0;11.0;;;;;;;;;;;;;;;;;;;;;
21;Jungholz;Jungholzstrasse 19;119;2683408.448;1251934.59;2683265.9868223905;1247929.869313064;4007.2537937469624;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
10000411;KV Zurich Business School;Sihlquai 305a;124;2682024.60044099;1249386.12015261;2683265.9868223905;1247929.869313064;1913.5586365732574;2.0;;;;;;;;;;;;;;;;;;;;;;;
10000418;Kantonsschule Rämibühl;Zürichbergstrasse 12;97;2684087.3511;1247461.8642;2683265.9868223905;1247929.869313064;945.3401834193342;2.0;;;;;;;;;;;;;;;;;;;;;;;
10000508;Kinderspital 1;Steinwiesstrasse 80;50;2684470.6008;1247359.9191;2683265.9868223905;1247929.869313064;1332.6432682545824;2.0;4.0;6.0;;;;;;;;;;;;;;;;;;;;;46.0
10000518;Krone;Badenerstrasse 705;37;2678896.17552631;1249124.41862509;2683265.9868223905;1247929.869313064;4530.143355591771;1.2;;;;;;;;;;;;;;;;;;;;;;;14.0
10000412;Letzipark;Baslerstrasse 52;1242;2679943.63917438;1248932.3996173;2683265.9868223905;1247929.869313064;3470.3113556499165;;;0.0;4.0;;;;;;;;;;;;;;;;;;;;
10000454;Limmat West;Hardturmstrasse 126b;29;2681108.04305354;1249750.22701746;2683265.9868223905;1247929.869313064;2823.1938441195125;0.5;2.5;4.5;;;;;;;;;;;;;;;;;;;;;
10000523;Lindenplatz;Spirgartenstrasse 5;21;2679007.93376991;1249026.52233948;2683265.9868223905;1247929.869313064;4397.006215379321;2.0;5.0;8.0;;;;;;;;;;;;;;;;;;;;;
59;Max Bill-Platz;Ellen-Widmann-Weg 2;98;2683049.328;1252073.25;2683265.9868223905;1247929.869313064;4149.041402805413;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
41;Messe;Hagenholzstrasse 50;1839;2684128.758;1252050.836;2683265.9868223905;1247929.869313064;4210.3135916162755;3.0;7.0;10.0;13.0;16.0;19.0;22.0;24.0;26.0;28.0;;;;;;;;;;;;;;
10000527;Migros City;Löwenstrasse 33;37;2682894.89737989;1247721.70581697;2683265.9868223905;1247929.869313064;425.4872682482317;2.0;;;;;;;;;;;;;;;;;;;;;;;
10000445;Migros Herdern;Pfingstweidstrasse 101;576;2680816.804;1249375.285;2683265.9868223905;1247929.869313064;2843.8922281853147;0.0;;;;;;;;;;;;;;;;;;;;;;;
10000429;Migros Limmatplatz;Gasometerstrasse 47;363;2682467.8638317;1248883.3168087;2683265.9868223905;1247929.869313064;1243.4075901343253;1.0;2.0;;;;;;;;;;;;;;;;;;;;;;
10000398;Migros Wiediker Markt;Burstwiesenstrasse 5;105;2680773.749;1247148.3129;2683265.9868223905;1247929.869313064;2611.9111374922118;0.5;1.5;;;;;;;;;;;;;;;;;;;;;;
10000452;Mühle Tiefenbrunnen;Seefeldstrasse 229a;35;2684861.75209982;1245082.99362652;2683265.9868223905;1247929.869313064;3263.612721400156;2.0;;;;;;;;;;;;;;;;;;;;;;;15.0
10000431;Neumarkt (Migros Altstetten);Baslerstrasse 145;247;2679198.72099068;1249257.60373015;2683265.9868223905;1247929.869313064;4278.496234439482;0.5;1.0;3.0;;;;;;;;;;;;;;;;;;;;;
10000432;Neumarkt (Zentrum Oerlikon);Nansenstrasse 21;260;2683405.33370708;1251661.50905446;2683265.9868223905;1247929.869313064;3734.2405806052775;3.0;;;;;;;;;;;;;;;;;;;;;;;36.0
45;Nordhaus;Siewerdtstrasse 10;184;2683686.015;1251843.529;2683265.9868223905;1247929.869313064;3936.1346286851776;2.0;4.0;7.0;10.0;13.0;;;;;;;;;;;;;;;;;;;48.0
51;Octavo;Brown-Boveri-Strasse 2;113;2682853.193;1252000.405;2683265.9868223905;1247929.869313064;4091.412900016724;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
1532;Opéra;Theaterstrasse 7;297;2683729.9489;1246631.0336;2683265.9868223905;1247929.869313064;1379.2153635276018;4.0;9.0;14.0;19.0;24.0;29.0;34.0;39.0;44.0;;;;;;;;;;;;;;;
52;P West;Förrlibuckstrasse 151;1004;2680950.239;1249576.372;2683265.9868223905;1247929.869313064;2841.4184969823036;1.5;4.0;7.0;9.0;;;;;;;;;;;;;;;;;;;;
50;Park Hyatt;Gotthardstrasse 27;267;2682899.573;1246697.958;2683265.9868223905;1247929.869313064;1285.2488367992369;4.0;10.0;16.0;22.0;28.0;34.0;40.0;45.0;;;;;;;;;;;;;;;;
62;Parkside;Sophie-Taeuber-Strasse 14;37;2683054.18;1251872.891;2683265.9868223905;1247929.869313064;3948.7063899027657;1.5;4.5;;;;;;;;;;;;;;;;;;;;;;
1;Pfingstweid;Pfingstweidstrasse 9;276;2681481.622;1249086.988;2683265.9868223905;1247929.869313064;2126.706720504927;3.0;8.0;10.0;13.0;16.0;19.0;22.0;25.0;28.0;31.0;34.0;37.0;;;;;;;;;;;;
1533;Puls 5;Technoparkstrasse 10;59;2681459.638;1249456.947;2683265.9868223905;1247929.869313064;2365.346133251878;2.5;;;;;;;;;;;;;;;;;;;;;;;
10000479;Sihlcity;Büttenweg 22;758;2681937.93524834;1245644.82246198;2683265.9868223905;1247929.869313064;2642.945344684079;3.5;4.5;6.0;8.0;11.0;14.0;17.0;20.0;25.0;30.0;35.0;;;;;;;;;;;;;39.0
33;Stampfenbach;Niklausstrasse 17;215;2683117.06613709;1249006.59443402;2683265.9868223905;1247929.869313064;1086.9748647546007;3.0;;;;;;;;;;;;;;;;;;;;;;;
10000421;Stauffachertor;Werdstrasse 6;57;2682458.367;1247474.074;2683265.9868223905;1247929.869313064;927.3613885260605;2.0;6.0;;;;;;;;;;;;;;;;;;;;;;
42;Talgarten;Nüschelerstrasse 30;110;2682881.768;1247391.115;2683265.9868223905;1247929.869313064;661.7252551656921;4.0;8.0;13.0;18.0;23.0;27.0;31.0;35.0;39.0;;;;;;;;;;;;;;;
1412;Unispital Nord;Frauenklinikstrasse 10;104;2683910.203;1248157.4585;2683265.9868223905;1247929.869313064;683.2359193604126;4.0;;;;;;;;;;;;;;;;;;;;;;;
24;Urania;Uraniastrasse 3;480;2683236.23667115;1247643.59028734;2683265.9868223905;1247929.869313064;287.8206943016057;4.0;9.0;14.0;19.0;24.0;29.0;34.0;39.0;44.0;;;;;;;;;;;;;;;
48;Utoquai;Färberstrasse 6;153;2683843.225;1246247.033;2683265.9868223905;1247929.869313064;1779.084587718315;3.0;7.0;11.0;16.0;21.0;24.0;27.0;30.0;33.0;;;;;;;;;;;;;;;
10000417;Vorderberg;Vorderberg 3;20;2684594.87809576;1247866.45844061;2683265.9868223905;1247929.869313064;1330.4033054615884;1.5;3.5;5.5;8.0;12.0;16.0;22.0;30.0;;;;;;;;;;;;;;;;40.0
10000511;Zentrum Witikon;Buchzelgstrasse 20a;180;2686684.60943367;1246033.03569915;2683265.9868223905;1247929.869313064;3909.598229642796;0.0;1.0;2.0;;;;;;;;;;;;;;;;;;;;;
53;Züri 11;Nansenstrasse 7;60;2683508.54;1251699.314;2683265.9868223905;1247929.869313064;3777.2404334167563;2.0;4.0;7.0;10.0;;;;;;;;;;;;;;;;;;;;
11;Zürichhorn;Baurstrasse 7;195;2684196.67625342;1245547.79596214;2683265.9868223905;1247929.869313064;2557.4315760568043;3.0;6.0;9.0;12.0;15.0;17.0;19.0;21.0;23.0;;;;;;;;;;;;;;;25.0
