SystemCodeNumber,Capacity,Occupancy,LastUpdated
BHMBCCMKT01,577,57,2016-10-22 07:59:45
BHMBCCMKT01,577,59,2016-10-22 08:26:46
BHMBCCMKT01,577,72,2016-10-22 08:59:44
BHMBCCMKT01,577,93,2016-10-22 09:26:47
BHMBCCMKT01,577,130,2016-10-22 09:59:44
BHMBCCMKT01,577,156,2016-10-22 10:26:47
BHMBCCMKT01,577,198,2016-10-22 10:59:47
BHMBCCMKT01,577,239,2016-10-22 11:32:43
BHMBCCMKT01,577,261,2016-10-22 11:59:46
BHMBCCMKT01,577,324,2016-10-22 12:32:47
BHMBCCMKT01,577,359,2016-10-22 12:59:47
BHMBCCMKT01,577,380,2016-10-22 13:32:43
BHMBCCMKT01,577,408,2016-10-22 13:59:48
BHMBCCMKT01,577,430,2016-10-22 14:39:47
BHMBCCMKT01,577,424,2016-10-22 14:59:48
BHMBCCMKT01,577,403,2016-10-22 15:26:49
BHMBCCMKT01,577,384,2016-10-22 15:59:47
BHMBCCMKT01,577,340,2016-10-22 16:26:47
BHMBCCMKT01,577,47,2016-10-23 07:59:48
BHMBCCMKT01,577,48,2016-10-23 08:26:51
BHMBCCMKT01,577,51,2016-10-23 08:59:50
BHMBCCMKT01,577,50,2016-10-23 09:26:51
BHMBCCMKT01,577,54,2016-10-23 09:59:52
BHMBCCMKT01,577,60,2016-10-23 10:26:53
BHMBCCMKT01,577,80,2016-10-23 10:59:53
BHMBCCMKT01,577,107,2016-10-23 11:26:49
BHMBCCMKT01,577,125,2016-10-23 11:59:50
BHMBCCMKT01,577,144,2016-10-23 12:26:51
BHMBCCMKT01,577,175,2016-10-23 13:06:52
BHMBCCMKT01,577,192,2016-10-23 13:26:55
BHMBCCMKT01,577,215,2016-10-23 13:59:53
BHMBCCMKT01,577,226,2016-10-23 14:26:51
BHMBCCMKT01,577,219,2016-10-23 14:59:53
BHMBCCMKT01,577,215,2016-10-23 15:26:56
BHMBCCMKT01,577,179,2016-10-23 15:59:54
BHMBCCMKT01,577,150,2016-10-23 16:26:57
BHMBCCMKT01,577,47,2016-10-24 07:56:56
BHMBCCMKT01,577,55,2016-10-24 08:29:56
BHMBCCMKT01,577,62,2016-10-24 09:03:01
BHMBCCMKT01,577,73,2016-10-24 09:30:01
BHMBCCMKT01,577,87,2016-10-24 09:55:57
BHMBCCMKT01,577,114,2016-10-24 10:30:02
BHMBCCMKT01,577,137,2016-10-24 11:03:03
BHMBCCMKT01,577,155,2016-10-24 11:29:57
BHMBCCMKT01,577,173,2016-10-24 12:02:57
BHMBCCMKT01,577,191,2016-10-24 12:30:03
BHMBCCMKT01,577,198,2016-10-24 12:56:58
BHMBCCMKT01,577,208,2016-10-24 13:30:03
BHMBCCMKT01,577,219,2016-10-24 13:56:01
BHMBCCMKT01,577,215,2016-10-24 14:30:02
BHMBCCMKT01,577,209,2016-10-24 14:56:02
BHMBCCMKT01,577,209,2016-10-24 15:32:59
BHMBCCMKT01,577,192,2016-10-24 16:00:04
BHMBCCMKT01,577,175,2016-10-24 16:33:03
BHMBCCMKT01,577,54,2016-10-25 08:00:03
BHMBCCMKT01,577,55,2016-10-25 08:26:08
BHMBCCMKT01,577,82,2016-10-25 09:00:03
BHMBCCMKT01,577,95,2016-10-25 09:19:19
BHMBCCMKT01,577,129,2016-10-25 09:56:19
BHMBCCMKT01,577,173,2016-10-25 10:29:19
BHMBCCMKT01,577,202,2016-10-25 10:56:23
BHMBCCMKT01,577,249,2016-10-25 11:29:22
BHMBCCMKT01,577,290,2016-10-25 12:02:23
BHMBCCMKT01,577,303,2016-10-25 12:29:21
BHMBCCMKT01,577,331,2016-10-25 13:03:20
BHMBCCMKT01,577,345,2016-10-25 13:29:24
BHMBCCMKT01,577,363,2016-10-25 13:56:21
BHMBCCMKT01,577,365,2016-10-25 14:29:23
BHMBCCMKT01,577,340,2016-10-25 15:02:24
BHMBCCMKT01,577,302,2016-10-25 15:29:22
BHMBCCMKT01,577,273,2016-10-25 15:56:25
BHMBCCMKT01,577,226,2016-10-25 16:29:22
BHMBCCMKT01,577,56,2016-10-26 07:59:26
BHMBCCMKT01,577,63,2016-10-26 08:32:27
BHMBCCMKT01,577,70,2016-10-26 08:59:29
BHMBCCMKT01,577,87,2016-10-26 09:26:27
BHMBCCMKT01,577,108,2016-10-26 09:59:25
BHMBCCMKT01,577,125,2016-10-26 10:26:30
BHMBCCMKT01,577,159,2016-10-26 10:59:30
BHMBCCMKT01,577,182,2016-10-26 11:26:28
BHMBCCMKT01,577,198,2016-10-26 11:59:29
BHMBCCMKT01,577,205,2016-10-26 12:26:27
BHMBCCMKT01,577,231,2016-10-26 12:59:31
BHMBCCMKT01,577,244,2016-10-26 13:26:32
BHMBCCMKT01,577,260,2016-10-26 13:59:26
BHMBCCMKT01,577,267,2016-10-26 14:26:26
BHMBCCMKT01,577,252,2016-10-26 14:59:30
BHMBCCMKT01,577,238,2016-10-26 15:26:30
BHMBCCMKT01,577,212,2016-10-26 15:59:32
BHMBCCMKT01,577,180,2016-10-26 16:32:30
BHMBCCMKT01,577,54,2016-10-27 07:59:33
BHMBCCMKT01,577,60,2016-10-27 08:32:33
BHMBCCMKT01,577,69,2016-10-27 08:59:33
BHMBCCMKT01,577,90,2016-10-27 09:32:35
BHMBCCMKT01,577,102,2016-10-27 09:59:37
BHMBCCMKT01,577,117,2016-10-27 10:25:37
BHMBCCMKT01,577,160,2016-10-27 10:59:38
BHMBCCMKT01,577,189,2016-10-27 11:32:32
BHMBCCMKT01,577,207,2016-10-27 11:59:38
BHMBCCMKT01,577,222,2016-10-27 12:26:35
BHMBCCMKT01,577,247,2016-10-27 12:59:36
BHMBCCMKT01,577,271,2016-10-27 13:32:35
BHMBCCMKT01,577,279,2016-10-27 13:59:37
BHMBCCMKT01,577,280,2016-10-27 14:26:38
BHMBCCMKT01,577,266,2016-10-27 14:59:37
BHMBCCMKT01,577,263,2016-10-27 15:26:33
BHMBCCMKT01,577,241,2016-10-27 15:59:38
BHMBCCMKT01,577,225,2016-10-27 16:26:39
BHMBCCMKT01,577,57,2016-10-28 08:16:41
BHMBCCMKT01,577,57,2016-10-28 08:16:41
BHMBCCMKT01,577,69,2016-10-28 08:56:40
BHMBCCMKT01,577,99,2016-10-28 09:29:43
BHMBCCMKT01,577,135,2016-10-28 10:02:44
BHMBCCMKT01,577,171,2016-10-28 10:29:41
BHMBCCMKT01,577,196,2016-10-28 10:56:43
BHMBCCMKT01,577,230,2016-10-28 11:29:44
BHMBCCMKT01,577,262,2016-10-28 12:02:44
BHMBCCMKT01,577,269,2016-10-28 12:29:45
BHMBCCMKT01,577,266,2016-10-28 13:02:43
BHMBCCMKT01,577,275,2016-10-28 13:29:45
BHMBCCMKT01,577,296,2016-10-28 14:02:39
BHMBCCMKT01,577,290,2016-10-28 14:29:45
BHMBCCMKT01,577,282,2016-10-28 15:02:43
BHMBCCMKT01,577,269,2016-10-28 15:29:41
BHMBCCMKT01,577,256,2016-10-28 16:02:40
BHMBCCMKT01,577,220,2016-10-28 16:29:42
BHMBCCMKT01,577,51,2016-10-29 07:59:48
BHMBCCMKT01,577,56,2016-10-29 08:26:46
BHMBCCMKT01,577,66,2016-10-29 08:59:48
BHMBCCMKT01,577,91,2016-10-29 09:26:50
BHMBCCMKT01,577,124,2016-10-29 09:59:51
BHMBCCMKT01,577,164,2016-10-29 10:26:49
BHMBCCMKT01,577,213,2016-10-29 10:59:46
BHMBCCMKT01,577,267,2016-10-29 11:25:51
BHMBCCMKT01,577,314,2016-10-29 12:06:51
BHMBCCMKT01,577,339,2016-10-29 12:26:46
BHMBCCMKT01,577,338,2016-10-29 12:59:51
BHMBCCMKT01,577,368,2016-10-29 13:26:47
BHMBCCMKT01,577,366,2016-10-29 13:59:51
BHMBCCMKT01,577,374,2016-10-29 14:26:50
BHMBCCMKT01,577,414,2016-10-29 14:59:51
BHMBCCMKT01,577,417,2016-10-29 15:26:52
BHMBCCMKT01,577,417,2016-10-29 15:59:51
BHMBCCMKT01,577,369,2016-10-29 16:26:53
BHMBCCMKT01,577,43,2016-10-30 07:59:55
BHMBCCMKT01,577,43,2016-10-30 07:59:55
BHMBCCMKT01,577,43,2016-10-30 07:59:55
BHMBCCMKT01,577,44,2016-10-30 08:25:53
BHMBCCMKT01,577,45,2016-10-30 08:59:52
BHMBCCMKT01,577,44,2016-10-30 09:25:57
BHMBCCMKT01,577,47,2016-10-30 09:59:52
BHMBCCMKT01,577,61,2016-10-30 10:25:54
BHMBCCMKT01,577,84,2016-10-30 10:59:56
BHMBCCMKT01,577,107,2016-10-30 11:25:55
BHMBCCMKT01,577,122,2016-10-30 11:59:58
BHMBCCMKT01,577,142,2016-10-30 12:26:54
BHMBCCMKT01,577,169,2016-10-30 13:06:59
BHMBCCMKT01,577,177,2016-10-30 13:25:59
BHMBCCMKT01,577,182,2016-10-30 13:59:59
BHMBCCMKT01,577,183,2016-10-30 14:32:54
BHMBCCMKT01,577,157,2016-10-30 15:00:00
BHMBCCMKT01,577,147,2016-10-30 15:32:59
BHMBCCMKT01,577,49,2016-10-31 08:00:03
BHMBCCMKT01,577,58,2016-10-31 08:26:02
BHMBCCMKT01,577,67,2016-10-31 09:00:00
BHMBCCMKT01,577,92,2016-10-31 09:26:03
BHMBCCMKT01,577,111,2016-10-31 10:00:05
BHMBCCMKT01,577,129,2016-10-31 10:26:02
BHMBCCMKT01,577,166,2016-10-31 11:00:02
BHMBCCMKT01,577,178,2016-10-31 11:26:04
BHMBCCMKT01,577,198,2016-10-31 12:00:04
BHMBCCMKT01,577,199,2016-10-31 12:26:06
BHMBCCMKT01,577,198,2016-10-31 13:00:06
BHMBCCMKT01,577,201,2016-10-31 13:26:01
BHMBCCMKT01,577,189,2016-10-31 13:59:47
BHMBCCMKT01,577,185,2016-10-31 14:26:05
BHMBCCMKT01,577,160,2016-10-31 15:00:03
BHMBCCMKT01,577,141,2016-10-31 15:27:04
BHMBCCMKT01,577,130,2016-10-31 16:00:07
BHMBCCMKT01,577,121,2016-10-31 16:26:06
BHMBCCMKT01,577,50,2016-11-01 08:06:07
BHMBCCMKT01,577,54,2016-11-01 08:26:07
BHMBCCMKT01,577,69,2016-11-01 09:00:08
BHMBCCMKT01,577,91,2016-11-01 09:26:12
BHMBCCMKT01,577,135,2016-11-01 10:00:08
BHMBCCMKT01,577,163,2016-11-01 10:26:11
BHMBCCMKT01,577,185,2016-11-01 11:00:09
BHMBCCMKT01,577,207,2016-11-01 11:26:11
BHMBCCMKT01,577,239,2016-11-01 12:00:08
BHMBCCMKT01,577,244,2016-11-01 12:26:12
BHMBCCMKT01,577,243,2016-11-01 13:00:12
BHMBCCMKT01,577,241,2016-11-01 13:26:12
BHMBCCMKT01,577,229,2016-11-01 14:00:09
BHMBCCMKT01,577,199,2016-11-01 14:26:10
BHMBCCMKT01,577,180,2016-11-01 15:00:12
BHMBCCMKT01,577,167,2016-11-01 15:27:09
BHMBCCMKT01,577,153,2016-11-01 16:00:09
BHMBCCMKT01,577,133,2016-11-01 16:33:14
BHMBCCMKT01,577,50,2016-11-02 07:56:18
BHMBCCMKT01,577,52,2016-11-02 08:30:14
BHMBCCMKT01,577,57,2016-11-02 08:56:14
BHMBCCMKT01,577,81,2016-11-02 09:30:15
BHMBCCMKT01,577,97,2016-11-02 09:56:15
BHMBCCMKT01,577,125,2016-11-02 10:29:19
BHMBCCMKT01,577,144,2016-11-02 10:56:16
BHMBCCMKT01,577,167,2016-11-02 11:30:19
BHMBCCMKT01,577,169,2016-11-02 11:56:19
BHMBCCMKT01,577,184,2016-11-02 12:30:20
BHMBCCMKT01,577,192,2016-11-02 13:03:20
BHMBCCMKT01,577,188,2016-11-02 13:30:18
BHMBCCMKT01,577,188,2016-11-02 14:03:20
BHMBCCMKT01,577,171,2016-11-02 14:30:16
BHMBCCMKT01,577,153,2016-11-02 14:56:19
BHMBCCMKT01,577,130,2016-11-02 15:29:19
BHMBCCMKT01,577,125,2016-11-02 16:03:20
BHMBCCMKT01,577,115,2016-11-02 16:30:18
BHMBCCMKT01,577,51,2016-11-03 08:00:22
BHMBCCMKT01,577,56,2016-11-03 08:26:26
BHMBCCMKT01,577,60,2016-11-03 09:00:22
BHMBCCMKT01,577,80,2016-11-03 09:26:22
BHMBCCMKT01,577,119,2016-11-03 10:00:22
BHMBCCMKT01,577,138,2016-11-03 10:26:25
BHMBCCMKT01,577,185,2016-11-03 11:00:24
BHMBCCMKT01,577,195,2016-11-03 11:26:27
BHMBCCMKT01,577,195,2016-11-03 12:00:26
BHMBCCMKT01,577,191,2016-11-03 12:26:27
BHMBCCMKT01,577,196,2016-11-03 12:59:26
BHMBCCMKT01,577,191,2016-11-03 13:26:26
BHMBCCMKT01,577,187,2016-11-03 13:59:26
BHMBCCMKT01,577,177,2016-11-03 14:26:23
BHMBCCMKT01,577,154,2016-11-03 15:00:23
BHMBCCMKT01,577,142,2016-11-03 15:26:24
BHMBCCMKT01,577,120,2016-11-03 16:03:28
BHMBCCMKT01,577,108,2016-11-03 16:30:27
BHMBCCMKT01,577,48,2016-11-04 08:00:29
BHMBCCMKT01,577,56,2016-11-04 08:26:32
BHMBCCMKT01,577,71,2016-11-04 08:59:32
BHMBCCMKT01,577,97,2016-11-04 09:33:32
BHMBCCMKT01,577,115,2016-11-04 10:00:29
BHMBCCMKT01,577,135,2016-11-04 10:26:31
BHMBCCMKT01,577,154,2016-11-04 11:00:33
BHMBCCMKT01,577,179,2016-11-04 11:33:31
BHMBCCMKT01,577,183,2016-11-04 12:00:31
BHMBCCMKT01,577,182,2016-11-04 12:33:34
BHMBCCMKT01,577,171,2016-11-04 13:00:30
BHMBCCMKT01,577,173,2016-11-04 13:26:33
BHMBCCMKT01,577,179,2016-11-04 13:59:31
BHMBCCMKT01,577,167,2016-11-04 14:26:30
BHMBCCMKT01,577,156,2016-11-04 15:00:30
BHMBCCMKT01,577,145,2016-11-04 15:26:30
BHMBCCMKT01,577,136,2016-11-04 16:00:33
BHMBCCMKT01,577,119,2016-11-04 16:26:30
BHMBCCMKT01,577,43,2016-11-05 08:00:35
BHMBCCMKT01,577,48,2016-11-05 08:26:35
BHMBCCMKT01,577,59,2016-11-05 08:59:37
BHMBCCMKT01,577,90,2016-11-05 09:26:38
BHMBCCMKT01,577,135,2016-11-05 09:59:37
BHMBCCMKT01,577,181,2016-11-05 10:33:38
BHMBCCMKT01,577,224,2016-11-05 10:59:39
BHMBCCMKT01,577,243,2016-11-05 11:26:38
BHMBCCMKT01,577,278,2016-11-05 12:06:39
BHMBCCMKT01,577,288,2016-11-05 12:26:41
BHMBCCMKT01,577,331,2016-11-05 13:00:37
BHMBCCMKT01,577,351,2016-11-05 13:33:39
BHMBCCMKT01,577,361,2016-11-05 13:59:41
BHMBCCMKT01,577,346,2016-11-05 14:26:39
BHMBCCMKT01,577,369,2016-11-05 15:00:40
BHMBCCMKT01,577,390,2016-11-05 15:26:40
BHMBCCMKT01,577,368,2016-11-05 16:00:41
BHMBCCMKT01,577,340,2016-11-05 16:26:40
BHMBCCMKT01,577,35,2016-11-06 08:00:42
BHMBCCMKT01,577,35,2016-11-06 08:26:43
BHMBCCMKT01,577,36,2016-11-06 09:00:42
BHMBCCMKT01,577,39,2016-11-06 09:33:44
BHMBCCMKT01,577,46,2016-11-06 10:00:43
BHMBCCMKT01,577,53,2016-11-06 10:26:46
BHMBCCMKT01,577,77,2016-11-06 10:59:45
BHMBCCMKT01,577,96,2016-11-06 11:26:44
BHMBCCMKT01,577,124,2016-11-06 11:59:43
BHMBCCMKT01,577,153,2016-11-06 12:26:47
BHMBCCMKT01,577,178,2016-11-06 13:06:45
BHMBCCMKT01,577,188,2016-11-06 13:26:43
BHMBCCMKT01,577,216,2016-11-06 13:59:46
BHMBCCMKT01,577,225,2016-11-06 14:33:47
BHMBCCMKT01,577,211,2016-11-06 15:00:47
BHMBCCMKT01,577,188,2016-11-06 15:26:45
BHMBCCMKT01,577,163,2016-11-06 15:59:48
BHMBCCMKT01,577,130,2016-11-06 16:26:45
BHMBCCMKT01,577,30,2016-11-07 08:00:52
BHMBCCMKT01,577,38,2016-11-07 08:26:53
BHMBCCMKT01,577,49,2016-11-07 08:59:50
BHMBCCMKT01,577,61,2016-11-07 09:26:49
BHMBCCMKT01,577,87,2016-11-07 09:59:50
BHMBCCMKT01,577,110,2016-11-07 10:26:49
BHMBCCMKT01,577,142,2016-11-07 10:59:51
BHMBCCMKT01,577,157,2016-11-07 11:26:51
BHMBCCMKT01,577,157,2016-11-07 11:59:51
BHMBCCMKT01,577,160,2016-11-07 12:26:50
BHMBCCMKT01,577,154,2016-11-07 12:59:53
BHMBCCMKT01,577,161,2016-11-07 13:33:52
BHMBCCMKT01,577,162,2016-11-07 13:59:54
BHMBCCMKT01,577,156,2016-11-07 14:33:55
BHMBCCMKT01,577,148,2016-11-07 15:00:51
BHMBCCMKT01,577,124,2016-11-07 15:33:53
BHMBCCMKT01,577,119,2016-11-07 16:00:51
BHMBCCMKT01,577,118,2016-11-07 16:33:53
BHMBCCMKT01,577,34,2016-11-08 07:59:58
BHMBCCMKT01,577,36,2016-11-08 08:26:55
BHMBCCMKT01,577,46,2016-11-08 08:59:56
BHMBCCMKT01,577,68,2016-11-08 09:26:56
BHMBCCMKT01,577,112,2016-11-08 09:59:56
BHMBCCMKT01,577,150,2016-11-08 10:33:59
BHMBCCMKT01,577,178,2016-11-08 11:00:00
BHMBCCMKT01,577,196,2016-11-08 11:33:56
BHMBCCMKT01,577,236,2016-11-08 11:59:58
BHMBCCMKT01,577,250,2016-11-08 12:27:01
BHMBCCMKT01,577,253,2016-11-08 13:00:00
BHMBCCMKT01,577,237,2016-11-08 13:34:01
BHMBCCMKT01,577,223,2016-11-08 14:00:59
BHMBCCMKT01,577,196,2016-11-08 14:26:58
BHMBCCMKT01,577,163,2016-11-08 15:00:02
BHMBCCMKT01,577,144,2016-11-08 15:33:57
BHMBCCMKT01,577,127,2016-11-08 16:01:02
BHMBCCMKT01,577,106,2016-11-08 16:34:02